AAJ   Åmål - Årjäng
LBE   Långebro - Eslöv
LBM   Lessebo - Målerås
LCB   Laxå - Charlottenberg gränsen
LES   Liljeholmen - Enskede
LFB   Lindfors - Bosjön
LHF   Linköpings central - Hultsfred
LHL   Lund - Harlösa
LHM   Limhamn - Malmö V
LHP   Ljungbyholm - Påryd
LHV   Ljusdal - Hudiksvall
LKO   Linköping - Ödeshög
LKT   Lidköping - Tun
LLH   Lövlid - Holmsele hamn
LLV   Ljungaverks lastplats - Ljungaverk
LNF   Lernacken - Fosieby
LNS   Linghed - Norrsundet
LOX   Lockarp - Oxie
LRF   Limmared - Falkenberg
LRT   Linköping - Ringstorp
LTB   Landskrona - Trelleborg
LUB   Lund - Bjärred
LVL   Laxå - Västra Laxsjön
LYS   Smedberg - Lysekil
MAB   Mönsterås - Blomstermåla
MAD   Morastrand - Älvdalen
MBM   Munkedals bruk - Munkedals hamn
MFH   Mönsterås - Fagerhult
MFL   Mariefred - Läggesta
MGP   Malmö - Genarp
MGR   Mellerud - Gilserud
MGX   Malmö godsbangård - Östervärn
MHH   Mjölby - Hästholmens hamn
MKB   Morjärv - Karlsborgsbruk Norrbotten
MKS   Mellerud - Kornsjö gränsen
MLN   Malmö central - Lernacken
MLX   Mellerud triangelspår
MMB   Mönsterås - Mönsterås bruk
MMS   Moholm - Mariestad
MNX   Mora Noret - Mora Norets norra
MOV   Mellansel - Örnsköldsviks central
MRG   Malmö V - Rydsgård
MSH   Malmö - Simrishamn
MSN   Mellerud - Sunnanå
MTB   Malmö central - Trelleborg
MYS   Malmö V - Ystad
NAB   Nättraby hamn - Älmeboda
NFH   Nyhyttan - Finnshyttan
NHA   Nynäshamn - Älvsjö
NHS   Nässjö central - Halmstads central
NKB   Norberg - Klackberg
NKM   Norraryd - Kvarnamåla
NLB   Norrmon - Lövstabruk
NMH   Näs bruk - Morshyttan
NNB   Nässjo central - Nybro
NOH   Nässjö - Oskarshamn
NTB   Nordmark - Taberg
