Cont’ue 1904


        Niederglatt - Otelfingen - Wettingen (1877 - 1969)
        Opfikon - Zürich Seebach (1877 - 1939)
        Effretikon - Winterthur (3. Gleis, 1877 - 1880)
        Emmenbrücke - Waldibrücke (1883 - 1998)
        Kupferhammer - Kriens (1886 - 2003)
        Beinwil am See - Reinach SBB
        Geneve-Cours-de-Rive - Veyrier-Gare-du-Saleve (1887 - 1956)
        Veyrier-Gare-du-Saleve - Collonges-sous-Saleve (1892 - 1930)
        Vevey Plan - Chilion (1888 - 1958)
        Sissach - Gelterkinden (1891 - 1916)
        Bellavista - Hotel Pasta (1891- 1913)
        Areuse - Cortaillod (1892 - 1984)
        Stansstad - Stans (1893 - 1903)
        Mürren Bahnhof - Kurhaus (1893 - 1937)
        Zürich HB - Zürich Stadelhofen (1893 - 1989)
        Lenzburg Spitzkehre - Wildegg (1895 - 1984)
        St. Moritz Dorf - St. Moritz Bad (1896 - 1932)
        Allaman - Aubonne (1896 - 1952)
        Altstätten SG - Altstätten Rathaus (1897 - 1975)
        Altstätten Bild - Berneck (1897 - 1940)
        Luzern - Rösslimatt - Kupferhammer
        Trait - Planches (1898 - 1912)
        Aubonne - Gimel (1898 - 1950)
        Rolle - Gimel (1898 - 1938)
        Riffelalp - Riffelalp Hotel (1899 - 1960, ab 2001)
        Aigle - Grand-Hotel-d'Aigle (1900 - 1945)
        Schwyz SBB - Schwyz
        La Sallaz - Chalet-a-Gobet - Mezieres (1902 - 1963)
        En Marin - Savigny (1902 - 1963)
        Mezieres - Moudon (1920 - 1962)
        Les Hauts-Geneveys - Villiers (1903 - 1948)
        Kempten - Meilen Schifflände
        Chillon  Villeneuve (1903 - 1957)

