DHA     Den Helder - Amsterdam
ZEH ZE  Zaandam - Enkhuizen
ZVB     Zandvoort Dorp - Zandvoort Bad
ZDZ ZD  Zuidbroek - Delfzijl
ZSG     Zaandam - Amsterdam Singelgracht
ZSK ZS  Zwolle - Stadskanal
ZWK ZK  Zwolle - Kampen
ZWS ZW  Zutphen - Winterswijk grens


        Duivendrecht West aansluiting - Amsterdam Bijlmer ArenA
        Duivendrecht Aansluiting Zuid - Venserpolder aansl.
        Betuweroute Valburg aansl. Oost - Elst Betuwelijn aansl.
        Betuweroute Valburg aansl. Oost - Ressen aansl.
        Den Haag
        Appeldorn driehoek
        Watergraafsmeer ringbaan aansl. - Watergraafsmeer Oost aansl.
        Kruispunt Beugen (BTG/NMV)
        Den Helder - Den Helder Haven
        Haren aansl. - Waterhuizen aansl.
