# Linee Ferroviarie Italiane
#

PBS     Parma - San Zeno-Folzano (- Brescia)
PCB     Piacenza - Bettola
PCC     Portogruaro-Caorle - Casarasa
PCN     Palmanova - Cervignano-Aquileia-Grado
PCP     Pavia - Casalpusterlengo
PCV     Piacenza - Castelvetro
PEX     1° Bivio Piacenza Est - 2° Bivio Piacenza Est
POX     Bivio Piacenza Ovest - Piacenza Ovest
PPD     Peschiera - Peschiera Darsena
PPS     Ponte San Pietro - Seregno
PSD     Aosta - Pré-Saint-Didier
PTL     Ponte Tresa - Luino Scalo
PTP     Pinerolo - Torre Pellice
PXA     Gruppo Scambi Altichiero - Padova Campo Marte
PXM     Gruppo Scambi Montà - Padova Campo Marte
PXN     Gruppo Scambi Montà - Gruppo Scambi Altichiero
PZC     (Piazzola sul Brenta -) Bivio Carbogna - Carturo
PZP     Palazzolo sull'Oglio - Paratico-Sarnico
QGB     Bivio Quadronna - Grandate-Breccia
RAG     Rocchette - Asiago
RAR     Rocchette - Arsiero
RAS     Ronco Scrivia - Arquata Scrivia
RCH     Bivio Rosales - Chiasso
RCM     Rivarolo - Castellamonte
ROC     Rovigo - Chioggia
RRF     Renate-Veduggio - Romanò Fornaci
RSNa    Ronchi dei Legionari Sud - Ronchi dei Legionari Nord
RSS     Rovato Borgo - Soresina Città
RVO     Rezzato - Vobarno
SAC     Saronno - Como Nord Lago
SAR     Santhià - Arona
SCL     Raccordo di Sesto Calende
SCM     Savona - Carmagnola
SCN     Seveso - Camnago-Lentate
SCO     Raccordo di Sacconago
SCR     Soresina Città - Cremona Porta Milano
SGC     Savona - Altare - S. Giuseppe di Cairo
SGP     Triplo Bivio Seveso - Milano Grecco Pirelli
SLM     Saronno - Laveno Mombello Lago
SNV     Saronno - Novara Nord
SPC     Settimo Torinese - Pont Canavese
SPZ     Sacile - Pinzano
SRC     Schio - Rocchette
SRL     Stresa FSM - Stresa Lido
SRM     Stresa FSM - Mottarone
SSR     Saronno - Seregno
STB     Santhià - Biella San Paolo
STI     Sondrio - Tirano
SVS     Savigliano - Saluzzo
TAG     Torino Porta Nuova - Alessandria - Genova Piazza Principe
