161     Katowice Szopienice Północne - Piekary Śląskie Szarlej
162     Dąbrowa Górnicza Strzemieszyce - Dąbrowa Górnicza Huta Katowice
163     Sosnowiec Kazimierz - Sosnowiec Maczki
164     Chorzów Batory - Ruda Kochłowice
165     Bytom Bobrek - Bytom Karb
166     Ruda Wschodnia - Gliwice
167     Szobiszowice - Gliwice Port
168     Gliwice - Gliwice Łabędy
169     Tychy - Orzesze Jaśkowice
170     Jastrzębie Zdrój Moszczenica - Zebrzydowice
171     Dąbrowa Górnicza Towarowa - Panewnik
172     Gierałtowice - Orzesze
173     Rybnik - Sumina
174     Kędzierzyn Koźle - Kędzierzyn Koźle Port
175     Kłodnica - Kluczbork
176     Racibórz Markowice - Olza
177     Racibórz - Granica Państwa (Pietrowice Głubczyckie)
178     Zabrze Mikulczyce - Tworóg Brynek
179     Tychy - Mysłowice Kosztowy
180     Dorota - Mysłowice Brzezinka
181     Herby Nowe - Oleśnica
182     Tarnowskie Góry - Zawiercie
183     Dąbrowa Górnicza Ząbkowice - Brzeziny Śląskie
184     Dąbrowa Górnicza Strzemieszyce - Sosnowiec Zagórze
185     Sosnowiec Główny - Sosnowiec Pogoń
186     Zawiercie - Dąbrowa Górnicza Ząbkowice
187     Ruda Kochłowice - Ruda Orzegów
188     Bytom Bobrek - Zabrze Biskupice
189     Ruda Chebzie - Zabrze Biskupice
190     Bielsko-Biała Główna - Granica Państwa (Cieszyn Marklowice)
191     Goleszów - Wisła Głębce
192     Syrynia - Pszów
193     Racibórz Studzienna - Granica Państwa (Krzanowice)
194     Pietrowice Wielkie - Kietrz
195     Kędzierzyn Koźle Zachodnie - Baborów
196     Olesno Śląskie - Praszka
197     Strzebiń - Woźniki Śląskie
198     Pyskowice - Pyskowice Miasto
199     Rudziniec Gliwicki - Kędzierzyn-Koźle
200     Gliwice - Gliwice Sośnica KWK Sośnica Makoszowy
201     Nowa Wieś Wielka - Gdynia Port Centralny
202     Gdańsk Główny - Stargard
203     Tczew - Kostrzyn
204     Malbork - Granica Państwa (Braniewo)
205     Granica Państwa (Skandawa) - Anielin Gradowo
206     Inowrocław Rąbinek -  Wągrowiec
207     Toruń Wschodni - Malbork
208     Działdowo - Chojnice
209     Brodnica - Bydgoszcz Wschód
210     Chojnice - Runowo Pomorskie
211     Chojnice - Kościerzyna


209

# D

        Michałów - Sławków [62]
        Oława [132] - Boreczek
        Otmuchów [137] - Dziewiętlice (- Bernartice u Javorníka)
        Dzierżoniów Śląski [137] - Bielawa Zachodnia
        Wrocław Główny Wąskotorowy - Sulmierzyce

# G

        Bartoszyce [38] - Szczurkowo
        Brześć Kujawski - Włocławek Wąskotorowy [18]
        Bydgoszcz Główna [18] - Bydgoszcz Bielawy [18]
        Bydgoszcz Wąskotorowa [18]- Bydgoszcz Las
        Bydgoszcz Wąskotorowa [18] - Koronowo Wąskotorowe
        Ciechanów Wąskotorowy [9] - Krasne
        Ciechanów Wąskotorowy [9] - Grudusk
        Cukrownia Pakość [Pakość, 206] - Cukrownia Janikowo
        Dobre Kujawskie - Nieszawa Wąskotorowa [18]
        Elbląg [204] - Elbląg Zdrój
        Elbląg [204] - Miłomłyn
        Gardeja [207] - Łasin
        Giemlice - Pszczółki Wąskotorowe [9]
        Inowrocław - Wielowieś Kujawska [206]
        Kętrzyn Wąskotorowy [38] - Mrągowo Wąskotorowe
        Kętrzyn Wąskotorowy [38] - Srokowo
        Kwidzyn [207] - Kisielice
        Lichnowy - Malbork Kałdowo Wąskotorowy [9]
        Malbork Kałdowo Wąskotorowy [9] - Nowy Dwór Gdański Wąskotorowy
        Malbork Kałdowo Wąskotorowy [9] - Świetliki {G06}
        Mareza - Kwidzyn Wąskotorowy [207]
        Mława Wąskotorowa [9] - Zamość Mazowiecki
        Mogilno - Barcin [206]
        Nowe Miasto Lubawskie - Zajączkowo Lubawskie [9]
        Ostrowite Cukrownia - Brodnica Wąskotorowa [208]
        Pelplin Wąskotorowy [131] - Lignowy
        Pelplin Wąskotorowy [131] - Międzyłęż Port
        Rypin Wąskotorowy [33] - Gołąb [209]
        Samborowo - Turza Wielka [9] {N15}
        Sierpc [27] - Rypin Wąskotorowy [33]
        Żnin Wąskotorowy [206] - Ośno Wąskotorowe
        Żnin Wąskotorowy [206] - Żużoły

# L

        Nałęczów Wąskotorowy [7] - Opole Lubelskie
        Jaszczów [7] - Bogdanka
        Zagnańsk Wąskotorowy [8] - Siekierno
        Zagnańsk Wąskotorowy [8] - Święty Krzyż
        Kielce Wąskotorowe [8] - Złota Woda
        Jędrzejów Wąskotorowy Osobowy [8] - Szczucin koło Tarnowa Wąskotorowy
